DIA,COD_POST_ADRE,CONSUM,YEAR,MONTH,DAY,Desc_Mes,Temperatura,Sector_Economic,Valor
2021-04-28,8008,453,2021,4,28,Abril,12.9,Serveis,132224
2021-04-30,8007,660,2021,4,30,Abril,12.9,Serveis,359001
2021-04-02,8031,1060,2021,4,2,Abril,12.9,Serveis,49589
2021-04-21,8037,315,2021,4,21,Abril,12.9,Serveis,95110
2021-04-06,8004,442,2021,4,6,Abril,12.9,Serveis,144105
2021-04-23,8016,9867,2021,4,23,Abril,12.9,Serveis,134400
2021-04-21,8019,483,2021,4,21,Abril,12.9,Serveis,164783
2021-04-18,8014,470,2021,4,18,Abril,12.9,Serveis,213307
2021-04-14,8028,496,2021,4,14,Abril,12.9,Serveis,485142
2021-04-18,8021,627,2021,4,18,Abril,12.9,Serveis,129963
2021-04-15,8011,459,2021,4,15,Abril,12.9,Serveis,91700
2021-04-12,8032,316,2021,4,12,Abril,12.9,Serveis,64470
2021-04-29,8038,650,2021,4,29,Abril,12.9,Serveis,218563
2021-04-06,8016,118840,2021,4,6,Abril,12.9,Serveis,132583
2021-04-04,8037,354,2021,4,4,Abril,12.9,Serveis,66717
2021-04-23,8022,786,2021,4,23,Abril,12.9,Serveis,143830
2021-04-18,8037,331,2021,4,18,Abril,12.9,Serveis,67915
2021-04-29,8001,435,2021,4,29,Abril,12.9,Serveis,181164
2021-04-06,8022,2018,2021,4,6,Abril,12.9,Serveis,145158
2021-04-19,8033,18302,2021,4,19,Abril,12.9,Serveis,41510
2021-04-25,8031,1011,2021,4,25,Abril,12.9,Serveis,47864
2021-04-05,8010,362,2021,4,5,Abril,12.9,Serveis,72043
2021-04-11,8025,406,2021,4,11,Abril,12.9,Serveis,209056
2021-04-07,8012,231,2021,4,7,Abril,12.9,Serveis,102723
2021-04-18,8009,514,2021,4,18,Abril,12.9,Serveis,81872
2021-04-15,8030,5814,2021,4,15,Abril,12.9,Serveis,470954
2021-04-21,8027,1550,2021,4,21,Abril,12.9,Serveis,174436
2021-04-29,8011,662,2021,4,29,Abril,12.9,Serveis,91419
2021-04-17,8018,566,2021,4,17,Abril,12.9,Serveis,279861
2021-04-12,8002,465,2021,4,12,Abril,12.9,Serveis,359937
2021-04-29,8004,500,2021,4,29,Abril,12.9,Serveis,151523
2021-04-17,8006,348,2021,4,17,Abril,12.9,Serveis,184692
2021-04-05,8020,334,2021,4,5,Abril,12.9,Serveis,233857
2021-04-18,8027,886,2021,4,18,Abril,12.9,Serveis,117041
2021-04-01,8034,1163,2021,4,1,Abril,12.9,Serveis,268384
2021-04-17,8036,531,2021,4,17,Abril,12.9,Serveis,165210
2021-04-19,8023,570,2021,4,19,Abril,12.9,Serveis,135061
2021-04-10,8029,419,2021,4,10,Abril,12.9,Serveis,211151
2021-04-16,8005,542,2021,4,16,Abril,12.9,Serveis,255257
2021-04-18,8019,476,2021,4,18,Abril,12.9,Serveis,116392
2021-04-07,8039,8524,2021,4,7,Abril,12.9,Serveis,234251
2021-04-08,8026,312,2021,4,8,Abril,12.9,Serveis,60791
2021-04-19,8005,568,2021,4,19,Abril,12.9,Serveis,253503
2021-04-10,8007,777,2021,4,10,Abril,12.9,Serveis,305825
2021-04-04,8007,834,2021,4,4,Abril,12.9,Serveis,249922
2021-04-05,8042,4865,2021,4,5,Abril,12.9,Serveis,118583
2021-04-07,8007,539,2021,4,7,Abril,12.9,Serveis,368456
2021-04-10,8017,898,2021,4,10,Abril,12.9,Serveis,182049
