DIA,COD_POST_ADRE,CONSUM,YEAR,MONTH,DAY,Desc_Mes,Temperatura,Sector_Economic,Valor
2021-04-28,8008,453,2021,4,28,Abril,12.9,Indústria,7218
2021-04-30,8007,660,2021,4,30,Abril,12.9,Indústria,21375
2021-04-02,8031,1060,2021,4,2,Abril,12.9,Indústria,1716
2021-04-21,8037,315,2021,4,21,Abril,12.9,Indústria,4107
2021-04-06,8004,442,2021,4,6,Abril,12.9,Indústria,306245
2021-04-23,8016,9867,2021,4,23,Abril,12.9,Indústria,5458
2021-04-21,8019,483,2021,4,21,Abril,12.9,Indústria,29012
2021-04-18,8014,470,2021,4,18,Abril,12.9,Indústria,11108
2021-04-14,8028,496,2021,4,14,Abril,12.9,Indústria,15506
2021-04-18,8021,627,2021,4,18,Abril,12.9,Indústria,9329
2021-04-15,8011,459,2021,4,15,Abril,12.9,Indústria,5387
2021-04-12,8032,316,2021,4,12,Abril,12.9,Indústria,2523
2021-04-29,8038,650,2021,4,29,Abril,12.9,Indústria,286989
2021-04-06,8016,118840,2021,4,6,Abril,12.9,Indústria,5494
2021-04-04,8037,354,2021,4,4,Abril,12.9,Indústria,3067
2021-04-23,8022,786,2021,4,23,Abril,12.9,Indústria,6780
2021-04-18,8037,331,2021,4,18,Abril,12.9,Indústria,3309
2021-04-29,8001,435,2021,4,29,Abril,12.9,Indústria,5155
2021-04-06,8022,2018,2021,4,6,Abril,12.9,Indústria,6670
2021-04-19,8033,18302,2021,4,19,Abril,12.9,Indústria,1885
2021-04-25,8031,1011,2021,4,25,Abril,12.9,Indústria,1389
2021-04-05,8010,362,2021,4,5,Abril,12.9,Indústria,4423
2021-04-11,8025,406,2021,4,11,Abril,12.9,Indústria,9523
2021-04-07,8012,231,2021,4,7,Abril,12.9,Indústria,9839
2021-04-18,8009,514,2021,4,18,Abril,12.9,Indústria,6944
2021-04-15,8030,5814,2021,4,15,Abril,12.9,Indústria,215849
2021-04-21,8027,1550,2021,4,21,Abril,12.9,Indústria,5294
2021-04-29,8011,662,2021,4,29,Abril,12.9,Indústria,5340
2021-04-17,8018,566,2021,4,17,Abril,12.9,Indústria,31187
2021-04-12,8002,465,2021,4,12,Abril,12.9,Indústria,11381
2021-04-29,8004,500,2021,4,29,Abril,12.9,Indústria,317071
2021-04-17,8006,348,2021,4,17,Abril,12.9,Indústria,14206
2021-04-05,8020,334,2021,4,5,Abril,12.9,Indústria,32243
2021-04-18,8027,886,2021,4,18,Abril,12.9,Indústria,4264
2021-04-01,8034,1163,2021,4,1,Abril,12.9,Indústria,8175
2021-04-17,8036,531,2021,4,17,Abril,12.9,Indústria,5349
2021-04-19,8023,570,2021,4,19,Abril,12.9,Indústria,2376
2021-04-10,8029,419,2021,4,10,Abril,12.9,Indústria,9592
2021-04-16,8005,542,2021,4,16,Abril,12.9,Indústria,18640
2021-04-18,8019,476,2021,4,18,Abril,12.9,Indústria,14418
2021-04-07,8039,8524,2021,4,7,Abril,12.9,Indústria,249112
2021-04-08,8026,312,2021,4,8,Abril,12.9,Indústria,3412
2021-04-19,8005,568,2021,4,19,Abril,12.9,Indústria,18158
2021-04-10,8007,777,2021,4,10,Abril,12.9,Indústria,15485
2021-04-04,8007,834,2021,4,4,Abril,12.9,Indústria,13007
2021-04-05,8042,4865,2021,4,5,Abril,12.9,Indústria,2259
2021-04-07,8007,539,2021,4,7,Abril,12.9,Indústria,21821
2021-04-10,8017,898,2021,4,10,Abril,12.9,Indústria,5825
2021-04-04,8039,5830,2021,4,4,Abril,12.9,Indústria,277774
2021-04-01,8011,376,2021,4,1,Abril,12.9,Indústria,4692
2021-04-27,8017,931,2021,4,27,Abril,12.9,Indústria,9557
2021-04-05,8003,363,2021,4,5,Abril,12.9,Indústria,7889
2021-04-28,8010,541,2021,4,28,Abril,12.9,Indústria,5222
2021-04-08,8025,452,2021,4,8,Abril,12.9,Indústria,12941
2021-04-19,8015,401,2021,4,19,Abril,12.9,Indústria,10933
2021-04-12,8001,425,2021,4,12,Abril,12.9,Indústria,5018
2021-04-27,8039,7681,2021,4,27,Abril,12.9,Indústria,294960
2021-04-13,8039,8873,2021,4,13,Abril,12.9,Indústria,286049
2021-04-05,8040,6572,2021,4,5,Abril,12.9,Indústria,230716
2021-04-24,8012,292,2021,4,24,Abril,12.9,Indústria,7594
2021-04-08,8013,467,2021,4,8,Abril,12.9,Indústria,12913
2021-04-25,8026,331,2021,4,25,Abril,12.9,Indústria,3312
2021-04-17,8028,500,2021,4,17,Abril,12.9,Indústria,12366
2021-04-26,8022,757,2021,4,26,Abril,12.9,Indústria,6955
2021-04-12,8011,368,2021,4,12,Abril,12.9,Indústria,5436
2021-04-28,8020,448,2021,4,28,Abril,12.9,Indústria,48392
2021-04-16,8008,510,2021,4,16,Abril,12.9,Indústria,7178
2021-04-21,8034,943,2021,4,21,Abril,12.9,Indústria,10420
2021-04-25,8008,591,2021,4,25,Abril,12.9,Indústria,4810
2021-04-22,8031,889,2021,4,22,Abril,12.9,Indústria,2152
2021-04-01,8024,376,2021,4,1,Abril,12.9,Indústria,7319
2021-04-19,8017,1051,2021,4,19,Abril,12.9,Indústria,9855
2021-04-08,8003,1076,2021,4,8,Abril,12.9,Indústria,11545
2021-04-26,8001,455,2021,4,26,Abril,12.9,Indústria,5028
2021-04-07,8034,1377,2021,4,7,Abril,12.9,Indústria,10590
2021-04-19,8008,519,2021,4,19,Abril,12.9,Indústria,7187
2021-04-03,8001,503,2021,4,3,Abril,12.9,Indústria,4728
2021-04-08,8042,8130,2021,4,8,Abril,12.9,Indústria,2747
2021-04-24,8034,974,2021,4,24,Abril,12.9,Indústria,6921
