"SECCIO_CENSAL","HOMES","DONES","EDAT_0_A_14","EDAT_15_A_24","EDAT_25_A_64","EDAT_65_A_MES","NACIONALS","COMUNITARIS","ESTRANGERS","DATA_DADES"
"07060","930","956","207","175","1129","375","1578","101","207","05-12-2021 11:00:05"
"07061","592","615","150","128","654","275","1069","30","108","05-12-2021 11:00:05"
"07062","670","719","194","122","820","253","1113","72","204","05-12-2021 11:00:05"
"07063","697","758","210","132","798","315","1220","29","206","05-12-2021 11:00:05"
"07064","803","899","200","189","938","375","1373","47","282","05-12-2021 11:00:05"
"07065","796","944","217","179","986","358","1281","88","371","05-12-2021 11:00:05"
"07066","835","894","210","148","1004","367","1343","73","313","05-12-2021 11:00:05"
"07067","752","824","204","165","918","289","1196","71","309","05-12-2021 11:00:05"
"07068","611","718","173","136","761","259","1024","50","255","05-12-2021 11:00:05"
"07069","689","763","168","138","820","326","1134","43","275","05-12-2021 11:00:05"
"07070","670","778","173","164","798","313","1144","29","275","05-12-2021 11:00:05"
"07071","624","709","151","111","693","378","1158","30","145","05-12-2021 11:00:05"
"07072","640","729","151","138","772","308","1166","37","166","05-12-2021 11:00:05"
"07073","529","607","129","97","607","303","892","27","217","05-12-2021 11:00:05"
"07074","809","865","198","170","933","373","1385","31","258","05-12-2021 11:00:05"
"07075","562","611","115","113","649","296","964","19","190","05-12-2021 11:00:05"
"07076","673","742","169","144","760","342","1136","42","237","05-12-2021 11:00:05"
"07077","648","678","151","136","772","267","1092","39","195","05-12-2021 11:00:05"
"07078","679","708","185","108","794","300","1126","72","189","05-12-2021 11:00:05"
"07079","679","776","167","134","773","381","1159","37","259","05-12-2021 11:00:05"
"07080","856","954","278","174","1036","322","1498","61","251","05-12-2021 11:00:05"
"07081","936","1012","177","218","1098","455","1680","56","212","05-12-2021 11:00:05"
"07082","600","647","133","134","721","259","1037","55","155","05-12-2021 11:00:05"
"07083","642","706","152","118","757","321","1089","33","226","05-12-2021 11:00:05"
"07084","685","678","176","122","784","281","1072","69","222","05-12-2021 11:00:05"
"07085","622","667","150","143","744","252","1082","43","164","05-12-2021 11:00:05"
"07086","717","777","191","122","885","296","1169","54","271","05-12-2021 11:00:05"
"07087","738","877","199","137","903","376","1351","61","203","05-12-2021 11:00:05"
"07088","825","898","233","201","1018","271","1368","60","295","05-12-2021 11:00:05"
"07089","617","762","151","136","730","362","1161","52","166","05-12-2021 11:00:05"
"07090","710","749","218","136","795","310","1284","56","119","05-12-2021 11:00:05"
"07091","580","673","142","140","694","277","1005","44","204","05-12-2021 11:00:05"
"07092","662","842","174","142","824","364","1071","35","398","05-12-2021 11:00:05"
"07093","867","873","218","231","880","411","1382","43","315","05-12-2021 11:00:05"
"07094","566","677","142","93","700","308","1037","46","160","05-12-2021 11:00:05"
"07095","719","801","169","168","860","323","1273","57","190","05-12-2021 11:00:05"
"07096","649","785","149","147","837","301","1170","64","200","05-12-2021 11:00:05"
"07097","368","502","91","45","403","331","756","31","83","05-12-2021 11:00:05"
"07098","1007","1146","302","236","1132","483","1986","61","106","05-12-2021 11:00:05"
"07099","505","539","75","95","638","236","975","21","48","05-12-2021 11:00:05"
"07100","545","644","122","82","578","407","1031","44","114","05-12-2021 11:00:05"
"07101","693","827","143","120","721","536","1279","53","188","05-12-2021 11:00:05"
"07102","353","321","116","54","428","76","578","23","73","05-12-2021 11:00:05"
"07103","729","802","182","208","852","289","1169","63","299","05-12-2021 11:00:05"
"07104","740","826","217","126","836","387","1350","48","168","05-12-2021 11:00:05"
"07105","485","552","103","96","541","297","961","18","58","05-12-2021 11:00:05"
"07106","535","650","154","103","627","301","1077","8","100","05-12-2021 11:00:05"
"07107","557","614","132","104","620","315","1077","27","67","05-12-2021 11:00:05"
"07108","575","666","139","118","655","329","1128","32","81","05-12-2021 11:00:05"
"07109","792","902","206","140","906","442","1442","54","198","05-12-2021 11:00:05"
"07110","448","575","103","91","473","356","935","16","72","05-12-2021 11:00:05"
"07111","386","504","97","76","387","330","841","15","34","05-12-2021 11:00:05"
"07112","615","684","155","118","718","308","1150","41","108","05-12-2021 11:00:05"
"07113","561","617","152","137","679","210","1029","18","131","05-12-2021 11:00:05"
"07114","552","633","148","106","657","274","1094","34","57","05-12-2021 11:00:05"
"07115","494","584","124","120","556","278","1012","33","33","05-12-2021 11:00:05"
"07116","676","815","217","130","804","340","1353","38","100","05-12-2021 11:00:05"
"07117","1494","1339","353","283","1884","313","1333","108","1392","05-12-2021 11:00:05"
"07118","571","673","164","120","665","295","1078","32","134","05-12-2021 11:00:05"
"07119","602","691","159","120","757","257","1083","29","181","05-12-2021 11:00:05"
"07120","558","682","124","91","655","370","1073","23","144","05-12-2021 11:00:05"
"07121","522","633","115","94","611","335","924","27","204","05-12-2021 11:00:05"
"07122","590","709","154","95","693","357","1151","14","134","05-12-2021 11:00:05"
"07123","677","758","161","171","739","364","1266","25","144","05-12-2021 11:00:05"
"08001","595","686","127","109","681","364","1141","22","118","05-12-2021 11:00:05"
"08002","586","666","156","126","648","322","1129","33","90","05-12-2021 11:00:05"
"08003","555","646","126","102","643","330","1045","29","127","05-12-2021 11:00:05"
"08004","647","789","187","123","773","353","1132","34","270","05-12-2021 11:00:05"
"08005","542","603","103","125","598","319","1000","25","120","05-12-2021 11:00:05"
"08006","767","893","199","197","895","369","1341","60","259","05-12-2021 11:00:05"
"08007","529","629","111","97","592","358","1032","30","96","05-12-2021 11:00:05"
"08008","757","879","182","149","883","422","1367","57","212","05-12-2021 11:00:05"
"08009","863","936","221","160","1082","336","1444","67","288","05-12-2021 11:00:05"
"08010","512","572","108","105","610","261","978","13","93","05-12-2021 11:00:05"
"08011","534","623","131","130","614","282","1023","30","104","05-12-2021 11:00:05"
"08012","574","724","131","124","744","299","1129","36","133","05-12-2021 11:00:05"
"08013","538","641","140","111","609","319","1015","32","132","05-12-2021 11:00:05"
"08014","586","679","135","144","727","259","1054","37","174","05-12-2021 11:00:05"
"08015","604","759","149","131","772","311","1102","41","220","05-12-2021 11:00:05"
"08016","510","640","145","108","583","314","935","29","186","05-12-2021 11:00:05"
